"","k","accuracy","kappa"
"1",3,0.9267304,0.8476656
"2",5,0.9332113,0.8615543
"3",7,0.9352236,0.8658707
"4",9,0.9361774,0.8679117
"5",11,0.9369287,0.8695086
"6",21,0.9381504,0.8721323
"7",31,0.938366,0.8726925
"8",51,0.9381178,0.8727055
"9",63,0.9378956,0.8722476
"10",69,0.9378107,0.8718107
"11",73,0.9377715,0.8716426
"12",77,0.9375625,0.8715708
"13",81,0.9369614,0.8711721
"14",111,0.9367654,0.8700225
"15",121,0.9366348,0.8696443
"16",131,0.9364322,0.8693921
"17",151,0.9357789,0.8677068
"18",201,0.9354326,0.867039
"19",265,0.937582,0.8711827
"20",79,0.9365825,0.8692696
"21",131,0.9364649,0.8690567
