"","k","Accuracy","Kappa"
"1",3,0.983542938205694,0.96546628519287
"2",5,0.983699733569783,0.965809050334899
"3",7,0.983484138759719,0.965368290663856
"4",9,0.983164012469133,0.964714796443307
"5",11,0.983085612226132,0.964558148004777
"6",21,0.981805114490565,0.961911360094703
"7",31,0.980916601579879,0.960067323847455
"8",41,0.979962761727823,0.958079266545271
"9",51,0.979309444168131,0.956720658369207
"10",61,0.978427466179615,0.9548867867781
"11",71,0.977689217424236,0.953351850024796
"12",81,0.977166564887447,0.952267417532715
"13",91,0.976578579775182,0.951045218387061
"14",101,0.976127791406794,0.95011178833279
"15",111,0.975500607133388,0.948810108850158
"16",121,0.974977953188073,0.947726432376459
"17",131,0.974318104035455,0.946361356828209
"18",141,0.973939180475708,0.94557848997879
"19",151,0.97346879156639,0.944604672129264
"20",161,0.973037601818214,0.94371276345663
"21",171,0.972488814458565,0.942577269271144
"22",181,0.972024959318986,0.941620694451145
