"","k","Accuracy","Kappa"
"1",3,0.994388005138078,0.988213259076601
"2",5,0.993904551890478,0.987200173082326
"3",7,0.993597490706462,0.986558142499987
"4",9,0.993212034785501,0.98575171111395
"5",11,0.992989906333746,0.985287969453445
"6",21,0.991173685448764,0.981489085587981
"7",31,0.989808254212648,0.978635624383001
"8",41,0.988299092590965,0.975483810708002
"9",51,0.987214587203815,0.973222603416839
"10",61,0.986149681077116,0.971005254813047
"11",71,0.985143572731771,0.968908946560992
"12",81,0.984215862580661,0.966980254808036
"13",91,0.983444948818022,0.965377526917689
"14",101,0.982687102594861,0.96380193954511
"15",111,0.982020719672505,0.962418582899413
"16",121,0.981413134915646,0.961156090830384
"17",131,0.980864349220619,0.960015895412061
"18",141,0.98028289749395,0.958811011374794
"19",151,0.9797602426523,0.957724678334993
"20",161,0.979283321381769,0.956734461037277
"21",171,0.979002395404756,0.956153019389064
"22",181,0.978682269370266,0.955488885164383
